dataset,sample_id,original_id,split,question,choices,answer,text_context,image_ref,has_image,subject,topic,skill,evidence_type,modality_case,answer_format,source_task
ai2d,ai2d_test_000001,ai2d_test_000001,test,What is the uppermost layer of the earth called?,Crust | Inner Core | Outer Core | Upper Mantle,0: Crust,,hf://lmms-lab/ai2d-no-mask/test/000001,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000002,ai2d_test_000002,test,Which is the hottest layer?,E | B | D | C,2: D,,hf://lmms-lab/ai2d-no-mask/test/000002,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000003,ai2d_test_000003,test,Which layer is between crust and lower mantle?,B | E | C | D,1: E,,hf://lmms-lab/ai2d-no-mask/test/000003,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000004,ai2d_test_000004,test,What is represented y B?,none of the above | the mantle | the core | the crust,2: the core,,hf://lmms-lab/ai2d-no-mask/test/000004,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000005,ai2d_test_000005,test,What is the outermost layer?,core | none of the above | crust | mantle,2: crust,,hf://lmms-lab/ai2d-no-mask/test/000005,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000006,ai2d_test_000006,test,How many changes are shown in the diagram?,2 | 4 | 1 | 7,1: 4,,hf://lmms-lab/ai2d-no-mask/test/000006,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000007,ai2d_test_000007,test,The diagram shows the life cycle of a flea? What letter represents the dormant stage?,A | B | E | C,3: C,,hf://lmms-lab/ai2d-no-mask/test/000007,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000008,ai2d_test_000008,test,The diagram shows the life cycle of a flea? What letter represents the eggs?,E | A | C | B,0: E,,hf://lmms-lab/ai2d-no-mask/test/000008,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000009,ai2d_test_000009,test,which stage denotes female fleas ?,B | A | C | D,0: B,,hf://lmms-lab/ai2d-no-mask/test/000009,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000010,ai2d_test_000010,test,which stage denotes larvae ?,A | B | C | D,0: A,,hf://lmms-lab/ai2d-no-mask/test/000010,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000011,ai2d_test_000011,test,How many changes are shown in the cycle?,4 | 7 | 521 | 0,0: 4,,hf://lmms-lab/ai2d-no-mask/test/000011,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000012,ai2d_test_000012,test,On the diagram what does image B depict?,tadpole | eggs | froglet | adult frog,2: froglet,,hf://lmms-lab/ai2d-no-mask/test/000012,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000013,ai2d_test_000013,test,The egg stage can be found at what point?,A | D | C | B,0: A,,hf://lmms-lab/ai2d-no-mask/test/000013,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000014,ai2d_test_000014,test,What is represented at Point D?,Adult Frog | Froglet | Tadpole | Eggs,2: Tadpole,,hf://lmms-lab/ai2d-no-mask/test/000014,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000015,ai2d_test_000015,test,What letter on the diagram depicts the tadpole?,A | C | B | D,3: D,,hf://lmms-lab/ai2d-no-mask/test/000015,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000016,ai2d_test_000016,test,Which label indicates the moon during a lunar eclipse?,D | C | E | B,2: E,,hf://lmms-lab/ai2d-no-mask/test/000016,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000017,ai2d_test_000017,test,Label D represents,Rachis | Flower | Stem | Leaf,2: Stem,,hf://lmms-lab/ai2d-no-mask/test/000017,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000018,ai2d_test_000018,test,Rachis is represented using label,C | A | D | E,3: E,,hf://lmms-lab/ai2d-no-mask/test/000018,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000019,ai2d_test_000019,test,What is located on the top?,petiolule | rachis | stipules | leaflets,3: leaflets,,hf://lmms-lab/ai2d-no-mask/test/000019,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000020,ai2d_test_000020,test,Which is located at the bottom?,stem | stipules | petiole | rachis,0: stem,,hf://lmms-lab/ai2d-no-mask/test/000020,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000021,ai2d_test_000021,test,"At this time of year, where are the sun's rays generally the warmest?",At the tropic of Cancer | At the Equator | Below the antarctic circle | Above the arctic circle,0: At the tropic of Cancer,,hf://lmms-lab/ai2d-no-mask/test/000021,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000022,ai2d_test_000022,test,The letter B in the diagram represents?,The Tropic of Capricorn | The Equator | The Antarctic Circle | The Tropic of Cancer,1: The Equator,,hf://lmms-lab/ai2d-no-mask/test/000022,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000023,ai2d_test_000023,test,What is represented by letter B?,Tropic of Capricorn | Antarctic Circle | Equator | Tropic of Cancer,2: Equator,,hf://lmms-lab/ai2d-no-mask/test/000023,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000024,ai2d_test_000024,test,Where is the Arctic Circle on the diagram?,C | I | E | G,0: C,,hf://lmms-lab/ai2d-no-mask/test/000024,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000025,ai2d_test_000025,test,Metamorphic rock becomes magma through what process?,lithification | heat pressure | melting | weathering,2: melting,,hf://lmms-lab/ai2d-no-mask/test/000025,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000026,ai2d_test_000026,test,What happens after metamorphic rocks melt?,cooling | none of the above | sediments | magma,3: magma,,hf://lmms-lab/ai2d-no-mask/test/000026,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000027,ai2d_test_000027,test,What happens at stage J in the diagram?,weathering | cooling | melting | none of the above,2: melting,,hf://lmms-lab/ai2d-no-mask/test/000027,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000028,ai2d_test_000028,test,Which stage of the rock cycle is shown at A?,Metamorphic Rock | Sedimentary Rock | heat pressure | Magma,2: heat pressure,,hf://lmms-lab/ai2d-no-mask/test/000028,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000029,ai2d_test_000029,test,How many stages does an egg go through to become an adult?,5 | 6 | 3 | 8,2: 3,,hf://lmms-lab/ai2d-no-mask/test/000029,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000030,ai2d_test_000030,test,What stage is shown by A for the life cycle of a mealworm?,Pupa | Adult | Larva | Egg,0: Pupa,,hf://lmms-lab/ai2d-no-mask/test/000030,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000031,ai2d_test_000031,test,What is the completely dark portion of shadow by Earth during a Lunar eclipse called ?,Shade | Penumbra | Orbit | Umbra,3: Umbra,,hf://lmms-lab/ai2d-no-mask/test/000031,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000032,ai2d_test_000032,test,What are the parts found above the soil?,"root | fibrous root | Stem,flower and leaf | none oft  the above","2: Stem,flower and leaf",,hf://lmms-lab/ai2d-no-mask/test/000032,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000033,ai2d_test_000033,test,What organ does food pass through between label F and label I?,pharynx | esophagus | appendix | epiglottis,1: esophagus,,hf://lmms-lab/ai2d-no-mask/test/000033,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000034,ai2d_test_000034,test,What part passes food to the stomach?,Appendix | Small intestines | Esophagus | Liver,2: Esophagus,,hf://lmms-lab/ai2d-no-mask/test/000034,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000035,ai2d_test_000035,test,Where are the teeth located?,Appendix | Mouth | Liver | Stomach,1: Mouth,,hf://lmms-lab/ai2d-no-mask/test/000035,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000036,ai2d_test_000036,test,Which organ in the diagram represents the small intestine?,C | G | E | J,2: E,,hf://lmms-lab/ai2d-no-mask/test/000036,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000037,ai2d_test_000037,test,What do herbivore fishes consume?,sunshine | algae | other fish | meat,1: algae,,hf://lmms-lab/ai2d-no-mask/test/000037,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000038,ai2d_test_000038,test,What do predator fishes consume?,snakes | deer | bears | other fish,3: other fish,,hf://lmms-lab/ai2d-no-mask/test/000038,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000039,ai2d_test_000039,test,What eats algae?,herbivore fishes | predator fishes | predator inverts | planktivore fishes,0: herbivore fishes,,hf://lmms-lab/ai2d-no-mask/test/000039,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000040,ai2d_test_000040,test,Wht is at the top of the food web?,primary producers | 2nd predators | algae | predator fishes,1: 2nd predators,,hf://lmms-lab/ai2d-no-mask/test/000040,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000041,ai2d_test_000041,test,An aquatic food web is shown. Phytoplanktons are considered as ?,Producers | Consumers | Carnivores | Herbivores,0: Producers,,hf://lmms-lab/ai2d-no-mask/test/000041,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000042,ai2d_test_000042,test,An aquatic food web is shown. Which is necessary for the chain to continue throughout or you can say it as the parent of the food web without which the food web is nothing?,Fish | Herbivores Zooplanktons | Carnivores Zooplanktons | Phytoplanktons,3: Phytoplanktons,,hf://lmms-lab/ai2d-no-mask/test/000042,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000043,ai2d_test_000043,test,"Based on the given food chain, name the producer",zooplankton | large fish | small fish | phytoplankton,3: phytoplankton,,hf://lmms-lab/ai2d-no-mask/test/000043,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000044,ai2d_test_000044,test,Herbivores zooplanktons are included in which trophic level?,fourth | third | second | first,2: second,,hf://lmms-lab/ai2d-no-mask/test/000044,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000045,ai2d_test_000045,test,How does energy flow in this food chain?,Bait Fish to Large Fish | Neither | Phytoplankton to Fish | Both of the Above,0: Bait Fish to Large Fish,,hf://lmms-lab/ai2d-no-mask/test/000045,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000046,ai2d_test_000046,test,"In the diagram shown, which is the producer?",zooplankton | small fish | large fish | phytoplankton,3: phytoplankton,,hf://lmms-lab/ai2d-no-mask/test/000046,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000047,ai2d_test_000047,test,"In the diagram shown, which organism consumes the large fish for a food source?",phytoplankton | zooplankton | small fish | nothing,3: nothing,,hf://lmms-lab/ai2d-no-mask/test/000047,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000048,ai2d_test_000048,test,What creature is at the top of the food chain?,Large fish | Phytoplankton | Carnivorous zooplankton | Small fish,0: Large fish,,hf://lmms-lab/ai2d-no-mask/test/000048,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000049,ai2d_test_000049,test,What is the producer in the diagram?,Phytoplankton | Zooplankton | Large fish | Small fish,0: Phytoplankton,,hf://lmms-lab/ai2d-no-mask/test/000049,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000050,ai2d_test_000050,test,Which is the producer in the group?,Large fish | Zooplankton | Small fish | None of the above,3: None of the above,,hf://lmms-lab/ai2d-no-mask/test/000050,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000051,ai2d_test_000051,test,Which organisms in this food chain are predators?,Herbivorous Zooplankton | Large Fish | Phytoplankton | None of the Above,1: Large Fish,,hf://lmms-lab/ai2d-no-mask/test/000051,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000052,ai2d_test_000052,test,At what stage does the deer fly feed on blood?,Larvae | Eggs | Pupa | Adult,3: Adult,,hf://lmms-lab/ai2d-no-mask/test/000052,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000053,ai2d_test_000053,test,How long does it take to complete the pupa stage?,1-3 hours | 1-2 days | 2-4 months | 1-3 weeks,3: 1-3 weeks,,hf://lmms-lab/ai2d-no-mask/test/000053,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000054,ai2d_test_000054,test,The diagram depicts the life cycle of a deer fly. Which letter in the diagram shows the eggs?,D | E | A | B,3: B,,hf://lmms-lab/ai2d-no-mask/test/000054,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000055,ai2d_test_000055,test,The diagram shows four stages in the development of a deer fly.  What stage occurs between A & E?,Larvae | Eggs | Adult | Pupa,3: Pupa,,hf://lmms-lab/ai2d-no-mask/test/000055,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000056,ai2d_test_000056,test,Which life cycle stage of the deer fly is depicted at letter D?,Eggs | Adult | Larvae | Pupa,3: Pupa,,hf://lmms-lab/ai2d-no-mask/test/000056,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000057,ai2d_test_000057,test,What organ system is represented by the above diagram?,sexual system | vascular system | digestive system | limbic system,2: digestive system,,hf://lmms-lab/ai2d-no-mask/test/000057,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000058,ai2d_test_000058,test,Where is saliva produced?,kidneys | heart | liver | mouth,3: mouth,,hf://lmms-lab/ai2d-no-mask/test/000058,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000059,ai2d_test_000059,test,Which image represents Deltoid?,F | I | B | A,3: A,,hf://lmms-lab/ai2d-no-mask/test/000059,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000060,ai2d_test_000060,test,Which is the most narrow in this diagram?,Elliptical | Linear | Deltoid | Oval,1: Linear,,hf://lmms-lab/ai2d-no-mask/test/000060,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000061,ai2d_test_000061,test,Which leaf represents linear leaf?,G | F | H | E,2: H,,hf://lmms-lab/ai2d-no-mask/test/000061,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000062,ai2d_test_000062,test,What is the animal shown in the image?,fish | dog | cat | none of the above,0: fish,,hf://lmms-lab/ai2d-no-mask/test/000062,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000063,ai2d_test_000063,test,What is the tail end of the fish in the diagram called?,pelvic | none of the above | caudal | anal,2: caudal,,hf://lmms-lab/ai2d-no-mask/test/000063,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000064,ai2d_test_000064,test,Which part is represented by the label A?,Adipose | Caudal | Pectoral | Pelvic,2: Pectoral,,hf://lmms-lab/ai2d-no-mask/test/000064,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000065,ai2d_test_000065,test,which label define downy woodpecker,c | none | b | a,2: b,,hf://lmms-lab/ai2d-no-mask/test/000065,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000066,ai2d_test_000066,test,which label define northern flicker tracks,b | c | a | none,1: c,,hf://lmms-lab/ai2d-no-mask/test/000066,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000067,ai2d_test_000067,test,What is the structure marked B in the center of the diagram?,stem | flower | leaves | roots,0: stem,,hf://lmms-lab/ai2d-no-mask/test/000067,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000068,ai2d_test_000068,test,What part of the plant is labeled A?,leaves | flower | roots | stem,2: roots,,hf://lmms-lab/ai2d-no-mask/test/000068,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
