skill,n,has_image_count,has_image_rate,missing_count,missing_rate
Use guide words,697,0,0.0,697,1.0
Inherited and acquired traits: use evidence to support a statement,585,0,0.0,585,1.0
Compare physical and chemical changes,447,0,0.0,447,1.0
Classify logical fallacies,373,0,0.0,373,1.0
Recall the source of an allusion,337,0,0.0,337,1.0
Identify questions that can be investigated with a set of materials,289,0,0.0,289,1.0
Greetings and closings of letters,288,0,0.0,288,1.0
Identify inherited and acquired traits,280,0,0.0,280,1.0
Identify vague pronoun references,261,0,0.0,261,1.0
Interpret figures of speech,257,0,0.0,257,1.0
Genetics vocabulary: genotype and phenotype,251,0,0.0,251,1.0
"Is the sentence in the past, present, or future tense?",251,0,0.0,251,1.0
Explore words with new or contested usages,215,0,0.0,215,1.0
Genetics vocabulary: dominant and recessive,205,0,0.0,205,1.0
"Is the sentence declarative, interrogative, imperative, or exclamatory?",202,0,0.0,202,1.0
Compare the speeds of moving objects,200,0,0.0,200,1.0
Costs and benefits,197,0,0.0,197,1.0
How is temperature related to thermal energy?,195,0,0.0,195,1.0
Compare properties of materials,151,0,0.0,151,1.0
What's the difference between weather and climate?,149,0,0.0,149,1.0
"Is the sentence simple, compound, complex, or compound-complex?",134,0,0.0,134,1.0
"Is the sentence simple, compound, or complex?",131,0,0.0,131,1.0
How are temperature and mass related to thermal energy?,125,0,0.0,125,1.0
Formatting titles,120,0,0.0,120,1.0
Is the sentence simple or compound?,114,0,0.0,114,1.0
Identify vertebrates and invertebrates,109,0,0.0,109,1.0
Use personification,105,0,0.0,105,1.0
"Classify figures of speech: euphemism, hyperbole, oxymoron, paradox",103,0,0.0,103,1.0
Capitalizing titles,102,0,0.0,102,1.0
"Choose metric units of distance, mass, and volume",99,0,0.0,99,1.0
Choose metric units of volume,99,0,0.0,99,1.0
Choose units of time,97,0,0.0,97,1.0
Which word does not rhyme?,97,0,0.0,97,1.0
Which text is most formal?,96,0,0.0,96,1.0
Classify figures of speech,95,0,0.0,95,1.0
"Classify the figure of speech: euphemism, hyperbole, oxymoron, paradox",94,0,0.0,94,1.0
"Choose customary units of distance, mass, and volume",93,0,0.0,93,1.0
Choose customary units of mass,91,0,0.0,91,1.0
Distinguish facts from opinions,89,0,0.0,89,1.0
Identify plants and animals,88,0,0.0,88,1.0
Classify figures of speech: review,86,0,0.0,86,1.0
Understand overall supply and demand,86,0,0.0,86,1.0
Identify similes and metaphors,85,0,0.0,85,1.0
"Is it a complete sentence, a fragment, or a run-on?",84,0,0.0,84,1.0
Choose customary units of volume,83,0,0.0,83,1.0
Choose metric units of mass,83,0,0.0,83,1.0
Which sentence is more formal?,83,0,0.0,83,1.0
Choose metric units of distance,82,0,0.0,82,1.0
Classify elementary substances and compounds using chemical formulas,82,0,0.0,82,1.0
Classify the figure of speech: review,82,0,0.0,82,1.0
Goods and services,79,0,0.0,79,1.0
Identify changes in gravitational potential energy,71,0,0.0,71,1.0
Identify living and nonliving things,69,0,0.0,69,1.0
Identify physical and chemical changes,68,0,0.0,68,1.0
Estimate temperatures,66,0,0.0,66,1.0
"Classify the figure of speech: anaphora, antithesis, apostrophe, assonance, chiasmus, understatement",65,0,0.0,65,1.0
Identify facts and opinions,62,0,0.0,62,1.0
Identify minerals using properties,57,0,0.0,57,1.0
How do mass and force affect motion?,56,0,0.0,56,1.0
"Identify solids, liquids, and gases",56,0,0.0,56,1.0
Interpret the figure of speech,56,0,0.0,56,1.0
Suggest appropriate revisions,56,0,0.0,56,1.0
"Use evidence to classify mammals, birds, fish, reptiles, and amphibians",55,0,0.0,55,1.0
Identify animals with and without backbones,53,0,0.0,53,1.0
Choose customary units of distance,52,0,0.0,52,1.0
Balanced and unbalanced forces,51,0,0.0,51,1.0
Is it a complete sentence or a run-on?,50,0,0.0,50,1.0
Positive and negative connotation,50,0,0.0,50,1.0
Identify sentence fragments,49,0,0.0,49,1.0
Identify run-on sentences,47,0,0.0,47,1.0
Predict forces using Newton's third law,43,0,0.0,43,1.0
The Bill of Rights,39,0,0.0,39,1.0
Identify elements of poetry,38,0,0.0,38,1.0
Compare cells and cell parts,35,0,0.0,35,1.0
Identify rocks using properties,34,0,0.0,34,1.0
What am I?,34,0,0.0,34,1.0
Human organs and their functions,32,0,0.0,32,1.0
Which word is not like the others?,32,0,0.0,32,1.0
Use evidence to classify animals,29,0,0.0,29,1.0
Identify reactants and products,27,0,0.0,27,1.0
Understand a Works Cited entry (MLA 7th edition),27,0,0.0,27,1.0
Cell part functions: true or false,26,0,0.0,26,1.0
Classify changes to Earth's surface,25,0,0.0,25,1.0
Identify elementary substances and compounds using chemical formulas,25,0,0.0,25,1.0
Read a thermometer,25,0,0.0,25,1.0
Identify the photosynthetic organism,24,0,0.0,24,1.0
Classify changes to Earth's surface II,23,0,0.0,23,1.0
Identify mixtures,23,0,0.0,23,1.0
Select the words that don't belong,22,0,0.0,22,1.0
Classify changes to Earth's surface I,21,0,0.0,21,1.0
Identify shortage and surplus,20,0,0.0,20,1.0
Identify solids and liquids,20,0,0.0,20,1.0
Identify whether objects are accelerating,20,0,0.0,20,1.0
Is the syllable open or closed?,20,0,0.0,20,1.0
Identify ecosystems,15,0,0.0,15,1.0
"Compare urban, suburban, and rural areas",12,0,0.0,12,1.0
Body parts and their functions,10,0,0.0,10,1.0
Identify functions of plant cell parts,10,0,0.0,10,1.0
Identify functions of animal cell parts,9,0,0.0,9,1.0
Identify text structures,9,0,0.0,9,1.0
Evaluate natural energy sources,8,0,0.0,8,1.0
Describe energy changes in chemical reactions,6,0,0.0,6,1.0
Compare plant and animal cells,5,0,0.0,5,1.0
Identify phases of the Moon,4,0,0.0,4,1.0
Identify plagiarism,4,0,0.0,4,1.0
Introduction to adaptations,4,0,0.0,4,1.0
Body systems: circulation and respiration,3,0,0.0,3,1.0
Body systems: digestion,3,0,0.0,3,1.0
Identify the purpose of a text,3,0,0.0,3,1.0
Science and technology in early China,3,0,0.0,3,1.0
The Executive Branch,3,0,0.0,3,1.0
The Legislative Branch,3,0,0.0,3,1.0
Understanding the chemistry of cellular respiration,3,0,0.0,3,1.0
Abraham Lincoln,2,0,0.0,2,1.0
Body systems: perception and motion,2,0,0.0,2,1.0
Federal government,2,0,0.0,2,1.0
Introduction to fossils,2,0,0.0,2,1.0
Purpose of government,2,0,0.0,2,1.0
Science literacy: how does the nervous system produce phantom pain?,2,0,0.0,2,1.0
"Structure and function: carbohydrates, lipids, proteins, and nucleic acids",2,0,0.0,2,1.0
The Constitution,2,0,0.0,2,1.0
Amelia Earhart,1,0,0.0,1,1.0
Antebellum Period: abolitionist and proslavery perspectives,1,0,0.0,1,1.0
Antebellum Period: economies of the North and South,1,0,0.0,1,1.0
Banks,1,0,0.0,1,1.0
Benjamin Franklin,1,0,0.0,1,1.0
Bill Gates,1,0,0.0,1,1.0
Body systems: removing waste,1,0,0.0,1,1.0
Cesar Chavez,1,0,0.0,1,1.0
Changes to Earth's surface: earthquakes,1,0,0.0,1,1.0
Changes to Earth's surface: erosion,1,0,0.0,1,1.0
Changes to Earth's surface: volcanic eruptions,1,0,0.0,1,1.0
Christmas,1,0,0.0,1,1.0
Día de los Muertos,1,0,0.0,1,1.0
Early Chinese thought,1,0,0.0,1,1.0
Easter,1,0,0.0,1,1.0
Explore energy transformations: bike ride,1,0,0.0,1,1.0
Frederick Douglass,1,0,0.0,1,1.0
George Washington Carver,1,0,0.0,1,1.0
Hanukkah,1,0,0.0,1,1.0
Harriet Tubman,1,0,0.0,1,1.0
Holi,1,0,0.0,1,1.0
How do plants make food?,1,0,0.0,1,1.0
Identify and classify fossils,1,0,0.0,1,1.0
Identify primary and secondary sources,1,0,0.0,1,1.0
Introduction to static electricity and charged objects,1,0,0.0,1,1.0
Jackie Robinson,1,0,0.0,1,1.0
John Deere,1,0,0.0,1,1.0
Kwanzaa,1,0,0.0,1,1.0
Local government,1,0,0.0,1,1.0
Lunar New Year,1,0,0.0,1,1.0
"Martin Luther King, Jr.",1,0,0.0,1,1.0
Natural resources,1,0,0.0,1,1.0
Neil Armstrong,1,0,0.0,1,1.0
Origins of Judaism,1,0,0.0,1,1.0
Paul Revere,1,0,0.0,1,1.0
Portuguese and Spanish expeditions: part II,1,0,0.0,1,1.0
Presidential elections,1,0,0.0,1,1.0
Radical Reconstruction,1,0,0.0,1,1.0
Ramadan,1,0,0.0,1,1.0
Reconstruction,1,0,0.0,1,1.0
Rosa Parks,1,0,0.0,1,1.0
Rosh Hashanah,1,0,0.0,1,1.0
Sitting Bull,1,0,0.0,1,1.0
Source analysis: the Declaration of Independence,1,0,0.0,1,1.0
Source analysis: the Gettysburg Address,1,0,0.0,1,1.0
State government,1,0,0.0,1,1.0
Susan B. Anthony,1,0,0.0,1,1.0
"Tariff, nullification, and bank war",1,0,0.0,1,1.0
Thanksgiving,1,0,0.0,1,1.0
The American Revolution: New British taxes,1,0,0.0,1,1.0
The American Revolution: conclusion and aftermath,1,0,0.0,1,1.0
The American Revolution: preparing for war,1,0,0.0,1,1.0
The American Revolution: the rebellion begins,1,0,0.0,1,1.0
The Civil War: the First Battle of Bull Run to Gettysburg,1,0,0.0,1,1.0
The Constitutional Convention,1,0,0.0,1,1.0
The Great Depression: part I,1,0,0.0,1,1.0
The Great Depression: part II,1,0,0.0,1,1.0
The Judicial Branch,1,0,0.0,1,1.0
The Lewis and Clark Expedition,1,0,0.0,1,1.0
The New Deal,1,0,0.0,1,1.0
The Reformation,1,0,0.0,1,1.0
The War of 1812: causes,1,0,0.0,1,1.0
The War of 1812: events and effects,1,0,0.0,1,1.0
The first party system: Federalists and Democratic-Republicans,1,0,0.0,1,1.0
Theodore Roosevelt,1,0,0.0,1,1.0
Thomas Edison,1,0,0.0,1,1.0
Thomas Jefferson,1,0,0.0,1,1.0
Thurgood Marshall,1,0,0.0,1,1.0
What is economics?,1,0,0.0,1,1.0
World War I: events of the war,1,0,0.0,1,1.0
World War I: the road to peace,1,0,0.0,1,1.0
World War I: the road to war,1,0,0.0,1,1.0
World War I: the war begins,1,0,0.0,1,1.0
The Louisiana Purchase,2,1,0.5,1,0.5
Describe and construct conifer life cycles,21,12,0.5714285714285714,9,0.4285714285714286
Describe and construct flowering plant life cycles,19,14,0.7368421052631579,5,0.26315789473684215
The Civil War: the beginning of the war,4,3,0.75,1,0.25
"Identify mammals, birds, fish, reptiles, and amphibians",342,267,0.7807017543859649,75,0.2192982456140351
Read a map: cardinal directions,400,400,1.0,0,0.0
Compare magnitudes of magnetic forces,399,399,1.0,0,0.0
Identify the Thirteen Colonies,398,398,1.0,0,0.0
Compare properties of objects,381,381,1.0,0,0.0
Use scientific names to classify organisms,341,341,1.0,0,0.0
Identify magnets that attract or repel,317,317,1.0,0,0.0
Identify state capitals of the Southeast,298,298,1.0,0,0.0
Trade and specialization,298,298,1.0,0,0.0
Identify state capitals of the Midwest,297,297,1.0,0,0.0
Identify state capitals of the Northeast,297,297,1.0,0,0.0
Compare concentrations of solutions,295,295,1.0,0,0.0
Identify the 50 state capitals,292,292,1.0,0,0.0
Identify state capitals of the West,291,291,1.0,0,0.0
Evaluate tests of engineering-design solutions,278,278,1.0,0,0.0
Identify how particle motion affects temperature and pressure,277,277,1.0,0,0.0
Identify and select countries of Oceania,274,274,1.0,0,0.0
Identify the experimental question,271,271,1.0,0,0.0
Describe ecosystems,238,238,1.0,0,0.0
Oceans and continents,211,211,1.0,0,0.0
Compare strengths of magnetic forces,200,200,1.0,0,0.0
Identify and select countries of the Caribbean,194,194,1.0,0,0.0
Analyze data to compare properties of planets,178,178,1.0,0,0.0
"Animal adaptations: beaks, mouths, and necks",175,175,1.0,0,0.0
Animal adaptations: skins and body coverings,170,170,1.0,0,0.0
Animal adaptations: feet and limbs,161,161,1.0,0,0.0
Identify properties of an object,151,151,1.0,0,0.0
Weather and climate around the world,145,145,1.0,0,0.0
Identify rocks and minerals,136,136,1.0,0,0.0
Identify oceans and continents,133,133,1.0,0,0.0
Use climate data to make predictions,123,123,1.0,0,0.0
Compare thermal energy transfers,115,115,1.0,0,0.0
Use lines of latitude and longitude,98,98,1.0,0,0.0
Use Punnett squares to calculate probabilities of offspring types,97,97,1.0,0,0.0
Identify common and scientific names,92,92,1.0,0,0.0
Classify elementary substances and compounds using models,91,91,1.0,0,0.0
"Describe, classify, and compare kingdoms",90,90,1.0,0,0.0
Use Punnett squares to calculate ratios of offspring types,90,90,1.0,0,0.0
"Identify appeals to ethos, pathos, and logos in advertisements",74,74,1.0,0,0.0
"Classify matter as solid, liquid, or gas",70,70,1.0,0,0.0
Interpret food webs II,69,69,1.0,0,0.0
Identify elementary substances and compounds using models,67,67,1.0,0,0.0
Interpret food webs I,66,66,1.0,0,0.0
Identify materials in objects,64,64,1.0,0,0.0
Identify multiple materials in objects,57,57,1.0,0,0.0
Identify and compare air masses,53,53,1.0,0,0.0
Use a letter-number grid,51,51,1.0,0,0.0
Identify roles in food chains,50,50,1.0,0,0.0
Read graphic organizers,49,49,1.0,0,0.0
Diffusion across membranes,48,48,1.0,0,0.0
"Identify and sort solids, liquids, and gases",47,47,1.0,0,0.0
"Classify rocks as igneous, sedimentary, or metamorphic",44,44,1.0,0,0.0
Compare fossils to modern organisms,44,44,1.0,0,0.0
Identify independent and dependent variables,44,44,1.0,0,0.0
Identify pushes and pulls,44,44,1.0,0,0.0
Determine the meaning of domain-specific words with pictures,43,43,1.0,0,0.0
Identify control and experimental groups,42,42,1.0,0,0.0
Compare ages of fossils in a rock sequence,36,36,1.0,0,0.0
Classify matter as solid or liquid,34,34,1.0,0,0.0
Identify directions of forces,34,34,1.0,0,0.0
Origins of scientific names,27,27,1.0,0,0.0
Read passages about animals,26,26,1.0,0,0.0
Classify fruits and vegetables as plant parts,24,24,1.0,0,0.0
Describe tectonic plate boundaries around the world,24,24,1.0,0,0.0
Interpret food webs,24,24,1.0,0,0.0
Find evidence of changes to Earth's surface,20,20,1.0,0,0.0
Read and understand informational passages,20,20,1.0,0,0.0
Classify symbiotic relationships,19,19,1.0,0,0.0
"Describe populations, communities, and ecosystems",19,19,1.0,0,0.0
Moss and fern life cycles,18,18,1.0,0,0.0
Choose the sensory details that match the picture,16,16,1.0,0,0.0
Match chemical formulas to ball-and-stick models,16,16,1.0,0,0.0
Angiosperm and conifer life cycles,15,15,1.0,0,0.0
Major U.S. cities,15,15,1.0,0,0.0
Identify states of the Southeast,14,14,1.0,0,0.0
Identify chemical formulas for ball-and-stick models,13,13,1.0,0,0.0
Identify the 50 states,13,13,1.0,0,0.0
Cities of the West,12,12,1.0,0,0.0
Describe the effects of gene mutations on organisms,12,12,1.0,0,0.0
Identify states of the Midwest,12,12,1.0,0,0.0
Cities of the Northeast,11,11,1.0,0,0.0
Cities of the Southeast,11,11,1.0,0,0.0
Identify states of the Northeast,11,11,1.0,0,0.0
How do balanced and unbalanced forces affect motion?,10,10,1.0,0,0.0
Cities of the Midwest,9,9,1.0,0,0.0
How can animal behaviors affect reproductive success? Identify evidence to support a claim,9,9,1.0,0,0.0
Causes of the Civil War: Missouri Compromise to Bleeding Kansas,8,8,1.0,0,0.0
Classical Athens: geography and society,8,8,1.0,0,0.0
Mesopotamian empires,8,8,1.0,0,0.0
State and local government,8,8,1.0,0,0.0
Compare ancient and modern organisms: use observations to support a hypothesis,7,7,1.0,0,0.0
"Genes, proteins, and traits: understanding the genetic code",6,6,1.0,0,0.0
Causes of the American Revolution: the French and Indian War,5,5,1.0,0,0.0
Southern Colonies: founding and government,5,5,1.0,0,0.0
Causes of the American Revolution: introduction to mercantilism and the Navigation Acts,4,4,1.0,0,0.0
Middle Colonies: founding and government,4,4,1.0,0,0.0
Middle colonies: founding and government,4,4,1.0,0,0.0
New England Colonies: founding and government,4,4,1.0,0,0.0
The Mongol Empire,4,4,1.0,0,0.0
Benefits of group behavior: African wild dogs,3,3,1.0,0,0.0
Describe and graph water on Earth,3,3,1.0,0,0.0
Evaluate multiple design solutions to prevent flooding,3,3,1.0,0,0.0
Explore chemical structure and properties: food flavors,3,3,1.0,0,0.0
Investigate primary succession on a volcanic island,3,3,1.0,0,0.0
Life as a colonist,3,3,1.0,0,0.0
Origins of Buddhism,3,3,1.0,0,0.0
The Revolutionary War: preparing for war,3,3,1.0,0,0.0
The greenhouse effect,3,3,1.0,0,0.0
Antebellum Period: slavery and politics part II,2,2,1.0,0,0.0
Benefits of group behavior: leaf-cutter ants,2,2,1.0,0,0.0
Causes of the American Revolution: politics and society,2,2,1.0,0,0.0
Coral reef biodiversity and human uses: explore a problem,2,2,1.0,0,0.0
Explore air masses,2,2,1.0,0,0.0
Explore chemical structure and properties: soapmaking,2,2,1.0,0,0.0
Foundations of Aztec civilization,2,2,1.0,0,0.0
How do flowering plants make new plants?,2,2,1.0,0,0.0
How do plants use and change energy?,2,2,1.0,0,0.0
Origins of Hinduism,2,2,1.0,0,0.0
Seed disperser: Eurasian red squirrel,2,2,1.0,0,0.0
Southern colonies: economy and slavery,2,2,1.0,0,0.0
The Columbian Exchange,2,2,1.0,0,0.0
The Revolutionary War: struggle for independence,2,2,1.0,0,0.0
The ancient Silk Road: geography and transportation,2,2,1.0,0,0.0
The fall of the Western Roman Empire,2,2,1.0,0,0.0
The medieval Silk Road,2,2,1.0,0,0.0
Understanding cells,2,2,1.0,0,0.0
Alexander the Great,1,1,1.0,0,0.0
Analyze models of the Earth-Sun-Moon system,1,1,1.0,0,0.0
Ancient Egypt: the Old Kingdom,1,1,1.0,0,0.0
Ancient Egyptian religion,1,1,1.0,0,0.0
Antebellum Period: slavery and politics part I,1,1,1.0,0,0.0
Causes of the Civil War: Dred Scott to secession,1,1,1.0,0,0.0
Comparing Athens and Sparta: part II,1,1,1.0,0,0.0
Country profile: China,1,1,1.0,0,0.0
Early Islamic caliphates,1,1,1.0,0,0.0
Early Mesopotamia,1,1,1.0,0,0.0
Early Roman society and politics,1,1,1.0,0,0.0
Evaluate claims about natural resource use: fossil fuels,1,1,1.0,0,0.0
Evaluate claims about natural resource use: groundwater,1,1,1.0,0,0.0
Explore energy transformations: roller coaster ride,1,1,1.0,0,0.0
Foundations of Inca civilization,1,1,1.0,0,0.0
Foundations of Maya civilization,1,1,1.0,0,0.0
French and English expeditions: part I,1,1,1.0,0,0.0
How do air masses form?,1,1,1.0,0,0.0
How do rock layers form?,1,1,1.0,0,0.0
How do sedimentary rocks form?,1,1,1.0,0,0.0
How does particle motion affect gas pressure?,1,1,1.0,0,0.0
Identify the best design solution to prevent hurricane damage,1,1,1.0,0,0.0
International organizations,1,1,1.0,0,0.0
Interpret evidence from fossils in rock layers,1,1,1.0,0,0.0
Introduction to natural selection,1,1,1.0,0,0.0
Jamestown: growth of a colony,1,1,1.0,0,0.0
Jamestown: the early years,1,1,1.0,0,0.0
Medieval Japan,1,1,1.0,0,0.0
Middle colonies: economy and society,1,1,1.0,0,0.0
New England colonies: economy and conflict,1,1,1.0,0,0.0
New England colonies: religion and government,1,1,1.0,0,0.0
Origins of Christianity,1,1,1.0,0,0.0
Plymouth,1,1,1.0,0,0.0
Pollinator: Indian flying fox,1,1,1.0,0,0.0
Pollinator: ruby-throated hummingbird,1,1,1.0,0,0.0
Read a topographic map,1,1,1.0,0,0.0
Reading and creating timelines with BCE and CE,1,1,1.0,0,0.0
Seed disperser: African elephant,1,1,1.0,0,0.0
Seed disperser: common ostrich,1,1,1.0,0,0.0
The American Revolution: struggle for independence,1,1,1.0,0,0.0
The American Revolution: the Thirteen Colonies under British rule,1,1,1.0,0,0.0
The Articles of Confederation,1,1,1.0,0,0.0
The Civil War: the end of the war,1,1,1.0,0,0.0
The Civil War: war tactics and the home front,1,1,1.0,0,0.0
The Mauryan Empire,1,1,1.0,0,0.0
The Revolutionary War: conclusion and aftermath,1,1,1.0,0,0.0
The Roman Republic: part II,1,1,1.0,0,0.0
The U.S.-Mexican War,1,1,1.0,0,0.0
The abolitionists,1,1,1.0,0,0.0
The beginnings of Rome,1,1,1.0,0,0.0
The end of Reconstruction and the rise of Jim Crow,1,1,1.0,0,0.0
Water on Earth,1,1,1.0,0,0.0
What are atoms and chemical elements?,1,1,1.0,0,0.0
World War II: global events,1,1,1.0,0,0.0
"World War II: lead-up to war in Europe, Asia",1,1,1.0,0,0.0
