dataset,model,sample_id,rank,question,target_evidence,top_evidence
scienceqa,tfidf,r011454,2,Will these magnets attract or repel each other?,"hint: Two magnets are placed as shown. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south. Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S. If opposite poles are closest to each other, the magnets attr","hint: Two magnets are placed as shown. Hint: Magnets that attract pull together. Magnets that repel push apart. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south. Here are some examples of magnets. The north pole of each magnet is marked N, and the south p"
scienceqa,tfidf,r017439,2,Will these magnets attract or repel each other?,"hint: Two magnets are placed as shown. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south. Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S. If opposite poles are closest to each other, the magnets attr","hint: Two magnets are placed as shown. Hint: Magnets that attract pull together. Magnets that repel push apart. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south. Here are some examples of magnets. The north pole of each magnet is marked N, and the south p"
scienceqa,tfidf,r006108,2,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr","hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr"
scienceqa,tfidf,r014530,2,Which continent is highlighted?,lecture: A continent is one of the seven largest areas of land on earth. solution: This continent is Australia.,lecture: A continent is one of the major land masses on the earth. Most people say there are seven continents. solution: This continent is Asia.
scienceqa,tfidf,r020673,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s","hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,tfidf,r000973,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t","hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,tfidf,r019909,2,"Which figure of speech is used in this text?
Dustin is a real Benedict Arnold. After promising to work on my campaign for class president, he decided to support my opponent.","lecture: Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive. Alliteration is the repetition of sounds at the beginning of nearby words. What a lucky little lady you are! An allusion is a brief reference to something or someone well known, often from history or literature. ""I'd better get home before I turn into a pumpkin!"" Lila remarked. An idiom is an expression that cannot be understood literally. Its meaning must be l","lecture: An allusion is a brief mention of something or someone well known, often from mythology, history, or literature. An allusion lets you reference ideas from an entire story in just a few words. ""I'd better get home before I turn into a pumpkin!"" Lila remarked. Here, Lila alludes to the fairy tale ""Cinderella,"" in which Cinderella must leave the ball before the coach that brought her transforms into a pumpkin. The allusion shows that Lila must depart immediately. solution: The source of th"
scienceqa,tfidf,r001189,3,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes and shapes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of t","hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,tfidf,r000193,4,Which ocean is highlighted?,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.","lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,tfidf,r016895,2,Does this passage describe the weather or the climate?,"hint: Figure: Smethport, Pennsylvania. Northwest Pennsylvania normally receives between two and five inches of precipitation each month of the year. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For e","hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,tfidf,r007478,5,Does this passage describe the weather or the climate?,"hint: Figure: Nassau. Nassau, a city in the Bahamas, has many tourists each winter. On Tuesday, it was too humid for some tourists. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the tempe","hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,tfidf,r006779,5,"Is the following trait inherited or acquired?
Larry has naturally blond hair.","lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit the","hint: Read the description of a trait. Sebastian has blond hair. lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as "
scienceqa,tfidf,r019198,7,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan","hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,tfidf,r016559,2,Which ocean is highlighted?,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Indian Ocean.","lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,tfidf,r008483,2,Which country is highlighted?,solution: This country is Dominica.,"solution: This country is the Dominican Republic. Why does the Dominican Republic share its island with another country? The Dominican Republic and Haiti share the island of Hispaniola. It is home to the earliest European settlements in the Americas. Christopher Columbus founded the first European settlement on the island in 1492 during his first voyage across the Atlantic. Though many people lived on the island before Columbus's arrival, European countries quickly began to colonize the island. "
scienceqa,tfidf,r000907,2,Which ocean is highlighted?,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean.","lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,tfidf,r004850,5,"Is the following trait inherited or acquired?
Aiden has naturally brown hair.","hint: Hint: Some people dye their hair. But this does not change their natural hair color. lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other","hint: Read the description of a trait. Sebastian has blond hair. lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as "
scienceqa,tfidf,r017606,2,"What kind of sentence is this?
Maureen felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.","lecture: There are four kinds of sentences. A declarative sentence is a statement and always ends with a period. The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure. An imperative sentence makes a request or a demand and usually ends with a period. If a demand shows strong feeling, it can end with an exclamation point. For this assignment, use references to support your claims. Don't drive so quickly in the construction zone! An interrogative sentence asks ","lecture: There are four kinds of sentences. A declarative sentence is a statement, and it always ends with a period. The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure. An interrogative sentence is a question, and it always ends with a question mark. Do you have any plans for the upcoming weekend? An imperative sentence is a command. It makes a request or tells someone to do something, and it usually ends with a period. If the command shows strong feeling,"
scienceqa,tfidf,r004583,4,Which ocean is highlighted?,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.","lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean."
scienceqa,tfidf,r004612,2,What is the name of the colony shown?,solution: The colony is Virginia. The Virginia Colony included land that would later become part of the state of West Virginia. West Virginia was never its own colony.,"hint: In the following questions, you will learn about the origins of the Middle Colonies. The Middle Colonies made up the middle part of the Thirteen Colonies, which were ruled by England in the 1600s and 1700s. The map below shows the Thirteen Colonies in 1750. Look at the map. Then answer the question below. solution: Look at the legend on the map. The rest of the Thirteen Colonies were part of New England or the Southern Colonies."
scienceqa,bm25,r011454,2,Will these magnets attract or repel each other?,"hint: Two magnets are placed as shown. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south. Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S. If opposite poles are closest to each other, the magnets attr","hint: Two magnets are placed as shown. Hint: Magnets that attract pull together. Magnets that repel push apart. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south. Here are some examples of magnets. The north pole of each magnet is marked N, and the south p"
scienceqa,bm25,r021145,2,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr","hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr"
scienceqa,bm25,r017439,2,Will these magnets attract or repel each other?,"hint: Two magnets are placed as shown. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south. Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S. If opposite poles are closest to each other, the magnets attr","hint: Two magnets are placed as shown. Hint: Magnets that attract pull together. Magnets that repel push apart. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south. Here are some examples of magnets. The north pole of each magnet is marked N, and the south p"
scienceqa,bm25,r010989,2,Which solution has a higher concentration of purple particles?,"hint: The diagram below is a model of two solutions. Each purple ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. ","hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,r014530,3,Which continent is highlighted?,lecture: A continent is one of the seven largest areas of land on earth. solution: This continent is Australia.,lecture: A continent is one of the major land masses on the earth. Most people say there are seven continents. solution: This continent is Asia.
scienceqa,bm25,r020673,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s","hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
