dataset,model,sample_id,rank,question,target_evidence,top_evidence
scienceqa,bm25,r006368,2,Which solution has a higher concentration of yellow particles?,"hint: The diagram below is a model of two solutions. Each yellow ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. ","hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,r000973,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t","hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,bm25,r001925,3,Which country is highlighted?,solution: This country is Samoa.,"solution: This country is Australia. Is Australia a country or a continent? Both! Australia is a country in Oceania, a region made up of many lands and islands in the Pacific Ocean. Many people say that Australia is the world's smallest continent. But some people call Oceania a continent instead."
scienceqa,bm25,r001189,3,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes and shapes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of t","hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,bm25,r000193,4,Which ocean is highlighted?,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.","lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,r017614,2,Which solution has a higher concentration of blue particles?,"hint: The diagram below is a model of two solutions. Each blue ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th","hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,r016895,2,Does this passage describe the weather or the climate?,"hint: Figure: Smethport, Pennsylvania. Northwest Pennsylvania normally receives between two and five inches of precipitation each month of the year. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For e","hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,bm25,r007478,4,Does this passage describe the weather or the climate?,"hint: Figure: Nassau. Nassau, a city in the Bahamas, has many tourists each winter. On Tuesday, it was too humid for some tourists. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the tempe","hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,bm25,r006779,2,"Is the following trait inherited or acquired?
Larry has naturally blond hair.","lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit the","hint: Read the description of a trait. Sebastian has blond hair. lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as "
scienceqa,bm25,r019198,8,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan","hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,bm25,r016559,2,Which ocean is highlighted?,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Indian Ocean.","lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,r008483,2,Which country is highlighted?,solution: This country is Dominica.,"solution: This country is the Dominican Republic. Why does the Dominican Republic share its island with another country? The Dominican Republic and Haiti share the island of Hispaniola. It is home to the earliest European settlements in the Americas. Christopher Columbus founded the first European settlement on the island in 1492 during his first voyage across the Atlantic. Though many people lived on the island before Columbus's arrival, European countries quickly began to colonize the island. "
scienceqa,bm25,r000907,2,Which ocean is highlighted?,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean.","lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,r017606,2,"What kind of sentence is this?
Maureen felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.","lecture: There are four kinds of sentences. A declarative sentence is a statement and always ends with a period. The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure. An imperative sentence makes a request or a demand and usually ends with a period. If a demand shows strong feeling, it can end with an exclamation point. For this assignment, use references to support your claims. Don't drive so quickly in the construction zone! An interrogative sentence asks ","lecture: There are four kinds of sentences. A declarative sentence is a statement, and it always ends with a period. The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure. An interrogative sentence is a question, and it always ends with a question mark. Do you have any plans for the upcoming weekend? An imperative sentence is a command. It makes a request or tells someone to do something, and it usually ends with a period. If the command shows strong feeling,"
tqa_ck12,tfidf,DQ_000002,2,How many steps are there to the formation of a stump?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000003,2,Which of these are most affected by a storm?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000004,2,"In a storm beach, what is exposed during the low tide?",lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000006,2,In which step does the cliff collapse?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000007,2,Which step is the cause of the erosion process shown?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000008,2,What happens before cliff retreats?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000009,2,What is located just below the wave-cut notch?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000010,2,What is the area of water where the river falls called?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000012,2,What collapses and creates a fall?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000013,2,Which label points to undercutting?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000014,2,What forms when a sea cave is eroded through completely?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000015,2,"In this diagram of Erosion and Deposition by Flowing Water, what is located just below the Headland?",lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000016,2,What material is deposited on the slip off slope?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000018,2,What is deposited on inside of bend?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000019,2,Why is flowing water important agent of corrosion?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000021,2,What causes the sediments to move downhill to another place?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000022,2,What rock formation causes rapids?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000023,2,Which is the name of the exact point where water falls in a waterfall?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000024,2,How many ridges of hard rock are shown in this picture?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000025,2,How are rapids created?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,NDQ_000049,2,Chemical oceanography is the study of the,lesson: earth science and its branches Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000106,2,Which statement about stalactites is false?,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000019,2,Why is flowing water important agent of corrosion?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,NDQ_000115,2,Factors that determine the size of ocean waves include,lesson: erosion and deposition by waves Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000177,2,Glaciers presently cover about 40 percent of Earths surface.,lesson: erosion and deposition by glaciers Answer the following multiple choice question from a science textbook.,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000197,2,A headwall is the,lesson: erosion and deposition by glaciers Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000039,2,Which structure marks the greatest distance the glacier advanced?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000042,2,The shape of which area could be caused by melting or an avalanche?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000066,2,What will form when the glacier melts?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000067,2,What stops the glacial ice from flowing through?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000068,2,What is located below the Headwall?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000243,2,Examples of imprint fossils made by compression are,lesson: fossils Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000246,2,Fossilized insects have been found preserved in amber which is hardened,lesson: fossils Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000248,3,Fossilized stomach contents may indicate,lesson: fossils Answer the following multiple choice question from a science textbook.,lesson: earth science and its branches Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,NDQ_000249,3,An animal is more likely to a fossil if it:,lesson: fossils Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000072,2,Which of those is the older layer?,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000074,2,The soft parts of organisms almost always decompose quickly after death. In which stage of fossil formation does this occur?,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000076,2,What causes a fossil to be exposed?,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000077,2,How many stages are there to the formation of a fossil?,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000078,2,Identify which of the following does not happen to a fish.,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
