dataset,model,strategy,sample_id,rank,question,topic,skill,target_evidence,top_negative_sample_id,top_negative_topic,top_negative_skill,top_negative_evidence
scienceqa,tfidf,same_topic,r004583,3,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r000907,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean."
scienceqa,tfidf,same_topic,r004612,2,What is the name of the colony shown?,us-history,Identify the Thirteen Colonies,solution: The colony is Virginia. The Virginia Colony included land that would later become part of the state of West Virginia. West Virginia was never its own colony.,r014943,us-history,Middle Colonies: founding and government,"hint: In the following questions, you will learn about the origins of the Middle Colonies. The Middle Colonies made up the middle part of the Thirteen Colonies, which were ruled by England in the 1600s and 1700s. The map below shows the Thirteen Colonies in 1750. Look at the map. Then answer the question below. solution: Look at the legend on the map. The rest of the Thirteen Colonies were part of New England or the Southern Colonies."
scienceqa,tfidf,same_topic,r000236,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,random,r017439,2,Will these magnets attract or repel each other?,physics,Identify magnets that attract or repel,"hint: Two magnets are placed as shown. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south. Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S. If opposite poles are closest to each other, the magnets attr",r000085,physics,Identify magnets that attract or repel,"hint: Two magnets are placed as shown. Hint: Magnets that attract pull together. Magnets that repel push apart. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south. Here are some examples of magnets. The north pole of each magnet is marked N, and the south p"
scienceqa,bm25,random,r019198,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r008174,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic"
scienceqa,bm25,same_subject,r000973,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,bm25,same_subject,r001925,2,Which country is highlighted?,geography,Identify and select countries of Oceania,solution: This country is Samoa.,r020236,geography,Identify and select countries of the Caribbean,"solution: This country is the Dominican Republic. Why does the Dominican Republic share its island with another country? The Dominican Republic and Haiti share the island of Hispaniola. It is home to the earliest European settlements in the Americas. Christopher Columbus founded the first European settlement on the island in 1492 during his first voyage across the Atlantic. Though many people lived on the island before Columbus's arrival, European countries quickly began to colonize the island. "
scienceqa,bm25,same_subject,r000193,4,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_subject,r017614,2,Which solution has a higher concentration of blue particles?,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each blue ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th",r014198,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,same_subject,r007478,3,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Nassau. Nassau, a city in the Bahamas, has many tourists each winter. On Tuesday, it was too humid for some tourists. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the tempe",r016895,earth-science,Weather and climate around the world,"hint: Figure: Smethport, Pennsylvania. Northwest Pennsylvania normally receives between two and five inches of precipitation each month of the year. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For e"
scienceqa,bm25,same_subject,r019198,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r008174,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic"
scienceqa,bm25,same_subject,r016559,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Indian Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_subject,r000907,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_subject,r000236,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_topic,r021145,2,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,physics,Identify how particle motion affects temperature and pressure,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr",r006108,physics,Identify how particle motion affects temperature and pressure,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr"
scienceqa,bm25,same_topic,r010989,2,Which solution has a higher concentration of purple particles?,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each purple ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. ",r014198,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,same_topic,r014530,2,Which continent is highlighted?,geography,Identify oceans and continents,lecture: A continent is one of the seven largest areas of land on earth. solution: This continent is Australia.,r003389,geography,Identify oceans and continents,lecture: A continent is one of the major land masses on the earth. Most people say there are seven continents. solution: This continent is Asia.
scienceqa,bm25,same_topic,r020673,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s",r014839,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,bm25,same_topic,r006368,2,Which solution has a higher concentration of yellow particles?,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each yellow ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. ",r014198,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,same_topic,r000973,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,bm25,same_topic,r001925,3,Which country is highlighted?,geography,Identify and select countries of Oceania,solution: This country is Samoa.,r007672,geography,Identify and select countries of Oceania,"solution: This country is Australia. Is Australia a country or a continent? Both! Australia is a country in Oceania, a region made up of many lands and islands in the Pacific Ocean. Many people say that Australia is the world's smallest continent. But some people call Oceania a continent instead."
scienceqa,bm25,same_topic,r001189,3,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes and shapes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of t",r014839,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,bm25,same_topic,r000193,4,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_topic,r017614,2,Which solution has a higher concentration of blue particles?,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each blue ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th",r014198,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,same_topic,r016895,2,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Smethport, Pennsylvania. Northwest Pennsylvania normally receives between two and five inches of precipitation each month of the year. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For e",r019165,earth-science,What's the difference between weather and climate?,"hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,bm25,same_topic,r007478,4,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Nassau. Nassau, a city in the Bahamas, has many tourists each winter. On Tuesday, it was too humid for some tourists. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the tempe",r019165,earth-science,What's the difference between weather and climate?,"hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,bm25,same_topic,r019198,5,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,bm25,same_topic,r016559,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Indian Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_topic,r008483,2,Which country is highlighted?,geography,Identify and select countries of the Caribbean,solution: This country is Dominica.,r020236,geography,Identify and select countries of the Caribbean,"solution: This country is the Dominican Republic. Why does the Dominican Republic share its island with another country? The Dominican Republic and Haiti share the island of Hispaniola. It is home to the earliest European settlements in the Americas. Christopher Columbus founded the first European settlement on the island in 1492 during his first voyage across the Atlantic. Though many people lived on the island before Columbus's arrival, European countries quickly began to colonize the island. "
